the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,ntaname,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,hrcevac,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.89683457842075, 40.84535271346571]}",2,Bronx,206,15,86,32,15,3 Avenue and East 176 Street,Bronx,2020-10-28T00:00:00.000,-73.896836,40.845361,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,22,31,,
"{'type': 'Point', 'coordinates': [-73.94520956732308, 40.78256172739122]}",1,Manhattan,108,8,68,29,12,1 Avenue and East  95 Street,Manhattan,2022-07-21T00:00:00.000,-73.945211,40.78257,AE,,Upper East Side-Yorkville,23,4,1,11,2,10099
"{'type': 'Point', 'coordinates': [-73.94311757667928, 40.62229875889725]}",3,Brooklyn,318,45,41,21,9,Avenue L and New York Avenue,Brooklyn,2022-11-10T00:00:00.000,-73.943119,40.622307,X,AREA OF MINIMAL FLOOD HAZARD,Flatlands,5,2,26,38,5,17217
"{'type': 'Point', 'coordinates': [-73.82584360657751, 40.74933873025991]}",4,Queens,407,20,25,16,6,Main Street and Peck Avenue,Queens,2023-01-18T00:00:00.000,-73.825845,40.749347,X,AREA OF MINIMAL FLOOD HAZARD,Queensboro Hill,22,3,3,67,5,14190
"{'type': 'Point', 'coordinates': [-73.86917259444924, 40.734126734851884]}",4,Queens,404,25,39,13,6,59 Avenue and  92 Street,Queens,2023-07-05T00:00:00.000,-73.869174,40.734135,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,66,3,5,68,6,14784
"{'type': 'Point', 'coordinates': [-73.88113458915815, 40.747918731998475]}",4,Queens,404,25,34,13,6,Roosevelt Avenue with 85 Street and Forley Street,Queens,2024-08-19T00:00:00.000,-73.881136,40.747927,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,66,3,21,68,,14784
"{'type': 'Point', 'coordinates': [-73.8335126033552, 40.77163972630823]}",4,Queens,407,19,27,11,14,Linden Place and Whitestone Expressway Northbound S/R,Queens,2025-04-25T00:00:00.000,-73.833514,40.771648,AE,,College Point,22,3,20,67,2,14191
"{'type': 'Point', 'coordinates': [-73.97833656224792, 40.68438774806385]}",3,Brooklyn,302,39,52,25,10,4 Avenue and Atlantic Avenue,Brooklyn,2025-10-03T00:00:00.000,-73.978338,40.684396,X,AREA OF MINIMAL FLOOD HAZARD,Park Slope,68,2,27,50,,17619
"{'type': 'Point', 'coordinates': [-73.93578456807901, 40.803677723628006]}",1,Manhattan,111,8,68,30,13,3 Avenue and East 125 Street,Manhattan,2023-10-24T00:00:00.000,-73.935786,40.803686,X,AREA OF MINIMAL FLOOD HAZARD,East Harlem (North),7,4,35,16,4,13093
"{'type': 'Point', 'coordinates': [-73.85790660027423, 40.68087874436445]}",4,Queens,409,32,23,15,7,101 Avenue and  81 Street,Queens,2020-07-06T00:00:00.000,-73.857908,40.680887,X,AREA OF MINIMAL FLOOD HAZARD,Ozone Park (North),46,3,41,60,4,24012
"{'type': 'Point', 'coordinates': [-73.90618858046928, 40.755521731758535]}",4,Queens,401,25,30,12,7,32 Avenue and  55 Street,Queens,2021-09-07T00:00:00.000,-73.90619,40.75553,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (East)-Woodside (North),39,3,33,72,,14787
"{'type': 'Point', 'coordinates': [-73.98848955755915, 40.71272274263596]}",1,Manhattan,103,1,65,27,10,Madison Street and Jefferson Street,Manhattan,2014-06-20T00:00:00.000,-73.988491,40.712731,X,AREA OF MINIMAL FLOOD HAZARD,Chinatown-Two Bridges,70,4,32,4,3,11723
"{'type': 'Point', 'coordinates': [-74.19299450314912, 40.52949078614925]}",5,Staten Island,503,51,62,24,11,Luten Avenue and Billou Street,Staten Island,2023-11-02T00:00:00.000,-74.192996,40.529499,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,,10699
"{'type': 'Point', 'coordinates': [-73.95336957069843, 40.68063374803834]}",3,Brooklyn,303,36,57,25,8,Bedford Avenue and Fulton Street,Brooklyn,2024-10-02T00:00:00.000,-73.953371,40.680642,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),69,2,49,51,,17618
"{'type': 'Point', 'coordinates': [-73.924662575473, 40.741790735256515]}",4,Queens,402,26,37,12,7,47 Avenue and  40 Street,Queens,2022-09-24T00:00:00.000,-73.924664,40.741799,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside,53,3,33,66,,16861
"{'type': 'Point', 'coordinates': [-73.90700957250839, 40.886604706459565]}",2,Bronx,208,11,81,33,15,Riverdale Avenue and West 236 Street (North Leg),Bronx,2023-05-08T00:00:00.000,-73.907011,40.886613,X,AREA OF MINIMAL FLOOD HAZARD,Riverdale-Spuyten Duyvil,48,5,40,33,,11272
"{'type': 'Point', 'coordinates': [-73.93208157345674, 40.74265173534694]}",4,Queens,402,26,37,12,7,47 Avenue and  33 Street,Queens,2022-03-18T00:00:00.000,-73.932083,40.74266,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside,53,3,33,66,,16858
"{'type': 'Point', 'coordinates': [-73.9041555766215, 40.83617271571115]}",2,Bronx,203,16,79,32,15,Washington Avenue and Saint Pauls Place,Bronx,2024-07-01T00:00:00.000,-73.904157,40.836181,X,AREA OF MINIMAL FLOOD HAZARD,Claremont Village-Claremont (East),34,5,42,25,,10934
"{'type': 'Point', 'coordinates': [-73.99116156307971, 40.59754376542935]}",3,Brooklyn,311,43,47,17,11,Benson Avenue and  24 Avenue,Brooklyn,2024-04-15T00:00:00.000,-73.991163,40.597552,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Gravesend (West),1,2,45,37,2,17616
"{'type': 'Point', 'coordinates': [-74.23460748977746, 40.52792478751196]}",5,Staten Island,503,51,62,24,11,Veterans Road West with West Shore Expressway and Bricktown Way,Staten Island,2025-11-07T00:00:00.000,-74.234609,40.527933,X,AREA OF MINIMAL FLOOD HAZARD,Tottenville-Charleston,15,1,9,77,,10696
"{'type': 'Point', 'coordinates': [-73.98450755707907, 40.73695373835543]}",1,Manhattan,106,2,74,59,12,3 Avenue and East  20 Street,Manhattan,2026-05-22T00:00:00.000,-73.984509,40.736962,X,AREA OF MINIMAL FLOOD HAZARD,Gramercy,71,4,50,7,5,12073
"{'type': 'Point', 'coordinates': [-73.96792455875776, 40.78721472765332]}",1,Manhattan,107,6,69,47,12,Central Park West and West  89 Street,Manhattan,2023-04-07T00:00:00.000,-73.967926,40.787223,X,AREA OF MINIMAL FLOOD HAZARD,Central Park,19,4,19,13,,
"{'type': 'Point', 'coordinates': [-74.14913451088641, 40.62348176585443]}",5,Staten Island,501,49,61,23,11,Richmond Avenue and Forest Promenade (250' South of Monsey Place),Staten Island,2023-02-03T00:00:00.000,-74.149136,40.62349,X,AREA OF MINIMAL FLOOD HAZARD,Mariner's Harbor-Arlington-Graniteville,4,1,13,75,,10700
"{'type': 'Point', 'coordinates': [-73.81331161466748, 40.69723474017999]}",4,Queens,412,27,32,14,5,Atlantic Avenue and Van Wyck Expressway East,Queens,2026-06-03T00:00:00.000,-73.813313,40.697243,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,6,61,,24670
"{'type': 'Point', 'coordinates': [-73.95934594151396, 40.58740930377162]}",3,Brooklyn,315,48,45,22,8,Avenue Z and East 11 Street,Brooklyn,2024-01-29T00:00:00.000,-73.9593473681,40.5874175369,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32,2,15,36,2,13826
"{'type': 'Point', 'coordinates': [-73.83623859523705, 40.88231570420725]}",2,Bronx,212,12,83,36,16,Boston Road and Boller Avenue (South Leg),Bronx,2021-04-14T00:00:00.000,-73.83624,40.882324,X,AREA OF MINIMAL FLOOD HAZARD,Eastchester-Edenwald-Baychester,29,5,2,30,,12344
"{'type': 'Point', 'coordinates': [-73.88464758759376, 40.76699372834885]}",4,Queens,403,21,35,13,14,23 Avenue and  85 Street,Queens,2025-12-31T00:00:00.000,-73.884649,40.767002,X,AREA OF MINIMAL FLOOD HAZARD,East Elmhurst,65,3,21,73,4,14781
"{'type': 'Point', 'coordinates': [-73.86170658916805, 40.86123270975594]}",2,Bronx,211,13,80,33,15,Bronxwood Avenue and Waring Avenue,Bronx,2023-07-31T00:00:00.000,-73.861708,40.861241,X,AREA OF MINIMAL FLOOD HAZARD,Allerton,59,5,12,32,,11605
"{'type': 'Point', 'coordinates': [-73.89347357921534, 40.842854714107894]}",2,Bronx,206,15,79,32,15,Crotona Avenue and East 175 Street,Bronx,2022-09-30T00:00:00.000,-73.893475,40.842863,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,43,31,,10935
"{'type': 'Point', 'coordinates': [-73.95608056439693, 40.76365773156978]}",1,Manhattan,108,5,76,28,12,York Avenue and East  67 Street,Manhattan,2023-05-26T00:00:00.000,-73.956082,40.763666,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Lenox Hill-Roosevelt Island,23,4,1,11,4,10090
"{'type': 'Point', 'coordinates': [-73.95328257330928, 40.638384756750845]}",3,Brooklyn,314,45,42,21,9,"Flatbush Avenue, Bedford Avenue, and Foster Avenue",Brooklyn,2023-10-02T00:00:00.000,-73.953284,40.638393,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush,60,2,26,43,6,17217
"{'type': 'Point', 'coordinates': [-73.94831056513412, 40.798120724951836]}",1,Manhattan,110,9,68,29,13,5 Avenue and East 112 Street,Manhattan,2025-12-17T00:00:00.000,-73.948312,40.798129,X,AREA OF MINIMAL FLOOD HAZARD,East Harlem (South),7,4,36,14,5,12426
"{'type': 'Point', 'coordinates': [-74.14698951524058, 40.57200377628644]}",5,Staten Island,503,50,62,24,11,Arthur Kill Road with Richmond Road and Richmond Hill Road,Staten Island,2022-11-08T00:00:00.000,-74.146991,40.572012,X,AREA OF MINIMAL FLOOD HAZARD,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,15,1,14,76,5,10693
"{'type': 'Point', 'coordinates': [-73.7796786247378, 40.70859673686153]}",4,Queens,412,27,29,11,5,Jamaica Avenue and 181 Street,Queens,2020-06-08T00:00:00.000,-73.77968,40.708605,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,6,61,,24332
"{'type': 'Point', 'coordinates': [-73.79841461891972, 40.702731737875425]}",4,Queens,412,27,32,14,5,Archer Avenue and 160 Street,Queens,2025-11-14T00:00:00.000,-73.798416,40.70274,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,6,61,,24668
"{'type': 'Point', 'coordinates': [-73.95403156262948, 40.80884072291414]}",1,Manhattan,110,9,70,30,13,Manhattan Avenue and West 122 Street,Manhattan,2024-04-08T00:00:00.000,-73.954033,40.808849,X,AREA OF MINIMAL FLOOD HAZARD,Harlem (South),18,4,36,18,,12424
"{'type': 'Point', 'coordinates': [-74.00895155576319, 40.636067758319726]}",3,Brooklyn,307,43,49,17,10,8 Avenue and  59 Street,Brooklyn,2026-04-02T00:00:00.000,-74.008953,40.636076,X,AREA OF MINIMAL FLOOD HAZARD,Sunset Park (East)-Borough Park (West),2,2,7,39,,18180
"{'type': 'Point', 'coordinates': [-73.9139705701492, 40.88641370679945]}",2,Bronx,208,11,81,33,15,Independence Avenue and West 235 Street,Bronx,2022-03-02T00:00:00.000,-73.913972,40.886422,X,AREA OF MINIMAL FLOOD HAZARD,Riverdale-Spuyten Duyvil,48,5,40,33,,11272
"{'type': 'Point', 'coordinates': [-73.95023656955033, 40.70546374275857]}",3,Brooklyn,301,33,50,18,7,Broadway and Union Avenue,Brooklyn,2025-07-31T00:00:00.000,-73.950238,40.705472,X,AREA OF MINIMAL FLOOD HAZARD,South Williamsburg,36,2,38,56,4,17213
"{'type': 'Point', 'coordinates': [-74.18128250562326, 40.54694878201411]}",5,Staten Island,503,51,62,24,11,Arden Avenue with Drumgoole Road East and West,Staten Island,2022-12-20T00:00:00.000,-74.181284,40.546957,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,,10699
"{'type': 'Point', 'coordinates': [-73.96428656782876, 40.66582575148567]}",3,Brooklyn,355,39,44,20,10,Flatbush Avenue and Prospect Park Zoo,Brooklyn,2019-01-30T00:00:00.000,-73.964288,40.665834,X,AREA OF MINIMAL FLOOD HAZARD,Prospect Park,13,2,48,50,,13829
"{'type': 'Point', 'coordinates': [-73.93440890304359, 40.59663752646981]}",3,Brooklyn,315,46,41,22,8,Avenue W and Brigham Street,Brooklyn,2024-05-29T00:00:00.000,-73.9344103221,40.5966457635,X,AREA OF MINIMAL FLOOD HAZARD,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32,2,15,36,3,13512
