id,referencenumber,studyunit,datecreated,externalreferencenumber,daterequested,statusdescription,studystatus,statusdate,requesttype,dateassigned,borough,locationtype,mainstreet,crossstreet1,crossstreet2,midblock,removal,visionzero,seasonal,hurricanesandy,schoolhold,consultant,schoolcrossing,targetdate,locationnotes,schoolname,am_count,pm_count,schooldismissal,pedestriancount,gap,speed,compassdirectionone,oldreferencenumber,atr_receivedate,atr_requestdate,warrantdescription,warrantsstudytype,tentativesignalinstalldate,am_count2,pm_count2,midday_count,pedestriancount2,gap2,speed2,compassdirectiontwo,aw_installdate,schoolnumber,findings,signalinstalldate,midday_count2,schooldismissal2,otherstudies,warrantssatisfieddate,otherstudies2
229885,CQ25-3181,ICU,2025-10-08T09:23:25.000,DOT-717750-N1P2,2025-10-06T00:00:00.000,Study Request Denial,CLOSED,2025-10-30T00:00:00.000,All-Way Stop,2025-10-14T00:00:00.000,Queens,Intersection,52 ROAD,67 STREET,,No,No,No,No,No,No,No,Yes,,,P.S. 229 EMANUEL KAPLAN,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,2025-10-23T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,
229884,CQ25-3180,ICU,2025-10-08T09:11:17.000,DOT-717755-R8K1,2025-10-06T00:00:00.000,Study Request Denial,CLOSED,2025-11-12T00:00:00.000,All-Way Stop,2025-10-30T00:00:00.000,Queens,Intersection,52 ROAD,66 STREET,,No,No,No,No,No,No,No,No,,,,2025-10-31T00:00:00.000,2025-10-31T00:00:00.000,,2025-10-31T00:00:00.000,2025-10-31T00:00:00.000,2025-10-31T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,
229737,CQ25-3033B,SE,2025-09-25T18:04:29.000,DOT-712303-J3V1,2025-09-04T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-12-03T00:00:00.000,Traffic Signal,2025-09-04T00:00:00.000,Queens,Intersection,CYPRESS AVENUE,VERMONT PLACE,,No,No,No,No,No,No,No,No,2025-11-26T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229647,CQ25-2943B,SE,2025-09-16T12:31:54.000,DOT-710528-P1S8,2025-08-29T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-11-07T00:00:00.000,Traffic Signal,2025-08-29T00:00:00.000,Queens,Intersection,FLUSHING AVENUE,53 STREET,,No,No,No,No,No,No,No,No,2025-12-10T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228575,CQ25-2868B,SE,2025-09-10T18:09:35.000,DOT-712291-X0G6,2025-09-04T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-09-18T00:00:00.000,Accessible Pedestrian Signal,2025-09-04T00:00:00.000,Queens,Intersection,SENECA AVENUE,WOODBINE STREET,,No,No,No,No,No,No,No,No,2025-12-23T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228514,CQ25-2807B,SE,2025-09-05T12:45:40.000,DOT-700380-T6G2,2025-08-01T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-11-07T00:00:00.000,Traffic Signal,2025-08-01T00:00:00.000,Queens,Intersection,DRY HARBOR ROAD,80 STREET,FURMANVILLE AVENUE,No,No,No,No,No,No,No,No,2025-10-23T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228339,CQ25-2632,ICU,2025-08-14T09:21:34.000,DOT-709580-P8X8,2025-08-13T00:00:00.000,Study Request Denial,CLOSED,2025-08-22T00:00:00.000,All-Way Stop,2025-08-14T00:00:00.000,Queens,Intersection,78 AVENUE,64 PLACE,,No,No,No,No,No,No,No,No,,,,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,,,,,,,,,,2025-08-20T00:00:00.000,,,,,,,,,,,,,
228338,CQ25-2631,ICU,2025-08-14T09:18:08.000,DOT-709577-M5Z7,2025-08-13T00:00:00.000,Study Request Denial,CLOSED,2025-08-22T00:00:00.000,All-Way Stop,2025-08-14T00:00:00.000,Queens,Intersection,78 AVENUE,64 STREET,PHIL SCOOTER RIZZUTO CORNER,No,No,No,No,No,No,No,No,,,,2025-08-19T00:00:00.000,2025-08-19T00:00:00.000,,2025-08-19T00:00:00.000,2025-08-19T00:00:00.000,2025-08-19T00:00:00.000,,,,,,,,,,2025-08-19T00:00:00.000,,,,,,,,,,,,,
228273,CQ25-2566B,SE,2025-08-08T14:35:05.000,DOT-690828-Z2V3,2025-08-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-09-10T00:00:00.000,Leading Pedestrian Interval,2025-08-08T00:00:00.000,Queens,Intersection,FRESH POND ROAD,60 ROAD,,No,No,No,No,No,No,No,No,2025-06-26T00:00:00.000,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
228179,CQ25-2472B,SE,2025-07-31T13:12:54.000,DOT-701016-M2K1,2025-07-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-09-08T00:00:00.000,Traffic Signal,2025-07-14T00:00:00.000,Queens,Stretch,78 STREET,JUNIPER BOULEVARD SOUTH,PENELOPE AVENUE,No,No,No,No,No,No,No,No,2025-09-24T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227152,CQ25-2443B,SE,2025-07-23T10:28:35.000,DOT-704333-B2Y2,2025-07-15T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-07-29T00:00:00.000,Accessible Pedestrian Signal,2025-07-15T00:00:00.000,Queens,Intersection,FRESH POND ROAD,68 ROAD,,No,No,No,No,No,No,No,No,2025-11-03T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227150,CQ25-2441B,SE,2025-07-23T10:12:50.000,DOT-703055-J7B5,2025-07-14T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-10-08T00:00:00.000,Traffic Signal,2025-07-14T00:00:00.000,Queens,Intersection,PUTNAM AVENUE,FOREST AVENUE,,No,No,No,No,No,No,No,No,2025-09-17T00:00:00.000,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,
227119,CQ25-2410B,SE,2025-07-21T14:35:34.000,DOT-701235-B3J4,2025-06-24T00:00:00.000,Engineering Study Completed     (Signals Engineering),CLOSED,2025-09-04T00:00:00.000,Traffic Signal,2025-06-24T00:00:00.000,Queens,Intersection,MYRTLE AVENUE,60 LANE,,No,No,No,No,No,No,No,No,2025-10-07T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
