curated_row_id,source_file,source_row_hash,raw_source_file,raw_match_status,raw_match_count,raw_row_hash,raw_match_notes,referencenumber,id,daterequested,requesttype,borough,mainstreet,crossstreet1,crossstreet2,statusdescription,inclusion_status,inclusion_basis,provenance_status,review_required,review_notes
1,output/data_cb5_signal_studies.csv,b9a5741f0d21604b84802f76d64fa35a065870d77c2313bca03f8aeaef129ddd,data_raw/signal_studies_citywide.csv,matched,1,b9a5741f0d21604b84802f76d64fa35a065870d77c2313bca03f8aeaef129ddd,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-3181,229885,2025-10-06T00:00:00.000,All-Way Stop,Queens,52 ROAD,67 STREET,,Study Request Denial,included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
2,output/data_cb5_signal_studies.csv,931d797f96971e8dcb26ad1dc063f3e56fc6652624062348fcba04a98ec3cfd9,data_raw/signal_studies_citywide.csv,matched,1,931d797f96971e8dcb26ad1dc063f3e56fc6652624062348fcba04a98ec3cfd9,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-3180,229884,2025-10-06T00:00:00.000,All-Way Stop,Queens,52 ROAD,66 STREET,,Study Request Denial,included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
3,output/data_cb5_signal_studies.csv,df3458f056df0dd7a9783eadbd5a64ca946d599d3445d57a7d62a56f6a84db0f,data_raw/signal_studies_citywide.csv,matched,1,df3458f056df0dd7a9783eadbd5a64ca946d599d3445d57a7d62a56f6a84db0f,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-3033B,229737,2025-09-04T00:00:00.000,Traffic Signal,Queens,CYPRESS AVENUE,VERMONT PLACE,,Engineering Study Completed     (Signals Engineering),included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
4,output/data_cb5_signal_studies.csv,5488a44875092c0123b9bc2cc24548ee869025bb2c2c1915d3c74faa19bec86e,data_raw/signal_studies_citywide.csv,matched,1,5488a44875092c0123b9bc2cc24548ee869025bb2c2c1915d3c74faa19bec86e,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2943B,229647,2025-08-29T00:00:00.000,Traffic Signal,Queens,FLUSHING AVENUE,53 STREET,,Engineering Study Completed     (Signals Engineering),included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
5,output/data_cb5_signal_studies.csv,ffb3a4d93618575d6f889038316afcecac97c316214a8ba3f358394049a99681,data_raw/signal_studies_citywide.csv,matched,1,ffb3a4d93618575d6f889038316afcecac97c316214a8ba3f358394049a99681,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2868B,228575,2025-09-04T00:00:00.000,Accessible Pedestrian Signal,Queens,SENECA AVENUE,WOODBINE STREET,,Engineering Study Completed     (Signals Engineering),included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
6,output/data_cb5_signal_studies.csv,f33c1b12d439a7b5837126b591fdc9b29f983d12aa4f134870e631d817e6237e,data_raw/signal_studies_citywide.csv,matched,1,f33c1b12d439a7b5837126b591fdc9b29f983d12aa4f134870e631d817e6237e,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2807B,228514,2025-08-01T00:00:00.000,Traffic Signal,Queens,DRY HARBOR ROAD,80 STREET,FURMANVILLE AVENUE,Engineering Study Completed     (Signals Engineering),included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
7,output/data_cb5_signal_studies.csv,ec2ded56ddc9a911651c46e11fd74ab193f7913186bdb877073a2b05cbe00072,data_raw/signal_studies_citywide.csv,matched,1,ec2ded56ddc9a911651c46e11fd74ab193f7913186bdb877073a2b05cbe00072,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2632,228339,2025-08-13T00:00:00.000,All-Way Stop,Queens,78 AVENUE,64 PLACE,,Study Request Denial,included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
8,output/data_cb5_signal_studies.csv,d7b2c4222558119b70b50e3938681604df65e845207a8a60a30e0e77bf8d0cc6,data_raw/signal_studies_citywide.csv,matched,1,d7b2c4222558119b70b50e3938681604df65e845207a8a60a30e0e77bf8d0cc6,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2631,228338,2025-08-13T00:00:00.000,All-Way Stop,Queens,78 AVENUE,64 STREET,PHIL SCOOTER RIZZUTO CORNER,Study Request Denial,included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
9,output/data_cb5_signal_studies.csv,fd009b22fe0d294bd99958a3eafc408d3c4fed6864f6fe4900e5de64605c3b5d,data_raw/signal_studies_citywide.csv,matched,1,fd009b22fe0d294bd99958a3eafc408d3c4fed6864f6fe4900e5de64605c3b5d,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2566B,228273,2025-08-08T00:00:00.000,Leading Pedestrian Interval,Queens,FRESH POND ROAD,60 ROAD,,Engineering Study Completed     (Signals Engineering),included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
10,output/data_cb5_signal_studies.csv,a58e326d8b4465a4de946c65e90bcdf67cff4fcdbe8cfc9fc8605dbe7b6fdba4,data_raw/signal_studies_citywide.csv,matched,1,a58e326d8b4465a4de946c65e90bcdf67cff4fcdbe8cfc9fc8605dbe7b6fdba4,Matched committed raw Signal Studies snapshot by id and referencenumber.,CQ25-2472B,228179,2025-07-14T00:00:00.000,Traffic Signal,Queens,78 STREET,JUNIPER BOULEVARD SOUTH,PENELOPE AVENUE,Engineering Study Completed     (Signals Engineering),included,Legacy curated QCB5 signal-study input. Signal Studies lack a community-board field and source coordinates; inclusion was carried forward from prior street-name curation and still needs row-level human review.,needs_human_review,True,
