referencenumber,mainstreet,crossstreet1,requesttype,outcome,daterequested,statusdate,statusdescription,findings,schoolname,visionzero,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
CQ25-3181,52 ROAD,67 STREET,All-Way Stop,denied,2025-10-06,2025-10-30T00:00:00.000,Study Request Denial,,P.S. 229 EMANUEL KAPLAN,No,2,2,0,0,40.732924,-73.897919,data_cb5_signal_studies.csv
CQ25-3180,52 ROAD,66 STREET,All-Way Stop,denied,2025-10-06,2025-11-12T00:00:00.000,Study Request Denial,,,No,5,7,0,0,40.73294,-73.89911,data_cb5_signal_studies.csv
CQ25-3033B,CYPRESS AVENUE,VERMONT PLACE,Traffic Signal,denied,2025-09-04,2025-12-03T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,52,75,1,0,40.691433,-73.89063,data_cb5_signal_studies.csv
CQ25-2943B,FLUSHING AVENUE,53 STREET,Traffic Signal,denied,2025-08-29,2025-11-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,20,1,0,40.714424,-73.914246,data_cb5_signal_studies.csv
CQ25-2807B,DRY HARBOR ROAD,80 STREET,Traffic Signal,denied,2025-08-01,2025-11-07T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,18,23,2,0,40.717827,-73.8724,data_cb5_signal_studies.csv
CQ25-2632,78 AVENUE,64 PLACE,All-Way Stop,denied,2025-08-13,2025-08-22T00:00:00.000,Study Request Denial,,,No,12,18,1,0,40.697346,-73.89081,data_cb5_signal_studies.csv
CQ25-2631,78 AVENUE,64 STREET,All-Way Stop,denied,2025-08-13,2025-08-22T00:00:00.000,Study Request Denial,,,No,11,18,0,0,40.697144,-73.89169,data_cb5_signal_studies.csv
CQ25-2566B,FRESH POND ROAD,60 ROAD,Leading Pedestrian Interval,denied,2025-08-08,2025-09-10T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,6,7,1,0,40.716143,-73.901585,data_cb5_signal_studies.csv
CQ25-2472B,78 STREET,JUNIPER BOULEVARD SOUTH,Traffic Signal,denied,2025-07-14,2025-09-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,3,4,0,0,40.71979,-73.877266,data_cb5_signal_studies.csv
CQ25-2441B,PUTNAM AVENUE,FOREST AVENUE,Traffic Signal,denied,2025-07-14,2025-10-08T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,10,12,3,0,40.705684,-73.902372,data_cb5_signal_studies.csv
CQ25-2410B,MYRTLE AVENUE,60 LANE,Traffic Signal,denied,2025-06-24,2025-09-04T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,27,32,6,0,40.700653,-73.89628,data_cb5_signal_studies.csv
CQ25-2359,78 AVENUE,60 STREET,All-Way Stop,denied,2025-07-11,2025-12-04T00:00:00.000,Study Request Denial,,CHILDCARE MY FIRST STEPS DAYCARE / P.S. 068 CAMBRIDGE,No,5,5,1,0,40.69609,-73.89632,data_cb5_signal_studies.csv
CQ25-2292,STARR STREET,ONDERDONK AVENUE,Traffic Signal,denied,2025-07-02,2025-08-11T00:00:00.000,Study Request Denial,,,No,11,17,4,0,40.71029,-73.91789,data_cb5_signal_studies.csv
CQ25-2240,DEKALB AVENUE,ONDERDONK AVENUE,Traffic Signal,denied,2025-06-30,2025-11-07T00:00:00.000,Study Request Denial,,P.S. 305 LEARNERS AND LEADERS,No,12,16,4,0,40.707632,-73.915841,data_cb5_signal_studies.csv
CQ25-2094B,BORDEN AVENUE,MAURICE AVENUE,Traffic Signal,denied,2025-05-30,2025-09-22T00:00:00.000,Engineering Study Completed     (Signals Engineering),,,No,45,68,1,0,40.727733,-73.906731,data_cb5_signal_studies.csv
CQ25-2062,COOPER AVENUE,60 LANE,Traffic Signal,denied,2025-06-09,2025-09-15T00:00:00.000,Study Request Denial,,,No,2,2,1,0,40.6965692144966,-73.8945563503407,data_cb5_signal_studies.csv
CQ25-2040,76 STREET,78 AVENUE,All-Way Stop,denied,2025-06-04,2025-11-24T00:00:00.000,Study Request Denial,,I.S. 119 THE GLENDALE,No,4,7,1,0,40.70455,-73.873355,data_cb5_signal_studies.csv
CQ25-2000,72 PLACE,COOPER AVENUE,All-Way Stop,denied,2025-05-30,2025-12-12T00:00:00.000,Study Request Denial,,I.S. 119 THE GLENDALE,No,5,8,1,0,40.70352,-73.877875,data_cb5_signal_studies.csv
