projectcode,onstreet,fromstreet,tostreet,outcome,requestdate,closeddate,projectstatus,denialreason,installationdate,trafficdirectiondesc,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m,latitude,longitude,Source File
SR-20241104-35527,QUEENS MIDTOWN EXPRESSWAY SR S,HULL AVENUE,CLINTON AVENUE,denied,2024-11-04,2024-11-21T13:02:00.000,"Accept planning proposal of Not Feasible, Closed",multi-lane roadway,,One-way,20,25,3,0,40.72553,-73.900987,srts_citywide.csv
SR-20240910-32287,78 STREET,69 ROAD,COOPER AVENUE,denied,2024-09-09,2024-09-25T13:48:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,6,2,0,40.708948,-73.874507,srts_citywide.csv
SR-20241104-35527,QUEENS MIDTOWN EXPRESSWAY SR S,CLINTON AVENUE,55 DRIVE,denied,2024-11-04,2024-11-21T13:02:00.000,"Accept planning proposal of Not Feasible, Closed",multi-lane roadway,,One-way,24,29,3,0,40.725424,-73.899508,srts_citywide.csv
SR-20240514-31682,58 AVENUE,BROWN PLACE,69 STREET,denied,2024-05-09,2024-06-25T15:15:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,10,12,2,0,40.724068,-73.895776,srts_citywide.csv
SR-20241104-35527,QUEENS MIDTOWN EXPRESSWAY SR S,CLINTON AVENUE,CLINTON AVENUE,denied,2024-11-04,2024-11-21T13:02:00.000,"Accept planning proposal of Not Feasible, Closed",multi-lane roadway,,One-way,26,31,3,0,40.725458,-73.899966,srts_citywide.csv
SR-20241101-35515,ANDREWS AVENUE,56 STREET,LIRR MONTAUK LINE,denied,2024-10-31,2024-11-21T12:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,9,10,4,0,40.714455,-73.908275,srts_citywide.csv
SR-20211029-26673,DANA COURT,84 PLACE,WOODHAVEN BOULEVARD,denied,2021-10-08,2023-06-12T12:56:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,9,3,0,40.722619,-73.869554,srts_citywide.csv
SR-20241101-35515,ANDREWS AVENUE,LIRR MONTAUK LINE,59 PLACE,denied,2024-10-31,2024-11-21T12:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,6,7,4,0,40.715314,-73.907484,srts_citywide.csv
SR-20241104-35527,QUEENS MIDTOWN EXPRESSWAY SR S,64 STREET,HULL AVENUE,denied,2024-11-04,2024-11-21T13:02:00.000,"Accept planning proposal of Not Feasible, Closed",multi-lane roadway,,One-way,7,9,0,0,40.725596,-73.90178,srts_citywide.csv
SR-20240916-32316,MENAHAN STREET,CYPRESS AVENUE,SENECA AVENUE,denied,2024-09-07,2024-09-30T13:31:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,7,10,1,0,40.703435,-73.911807,srts_citywide.csv
SR-20240610-31807,GRANDVIEW AVENUE,RENE COURT,AMORY COURT,denied,2024-06-09,2024-07-01T13:07:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,17,22,2,0,40.712215,-73.91116,srts_citywide.csv
SR-20231120-31033,64 PLACE,78 AVENUE,80 AVENUE,denied,2023-11-17,2024-09-30T13:26:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,12,18,1,0,40.697348,-73.890797,srts_citywide.csv
SR-20240612-31811,EDSALL AVENUE,75 STREET,76 STREET,denied,2024-06-12,2024-07-01T13:08:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,6,10,1,0,40.706541,-73.87515,srts_citywide.csv
SR-20240610-31807,GRANDVIEW AVENUE,METROPOLITAN AVENUE,RENE COURT,denied,2024-06-09,2024-07-01T13:07:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,17,20,1,0,40.713334,-73.913038,srts_citywide.csv
SR-20240613-31825,79 STREET,ELIOT AVENUE,62 AVENUE,denied,2024-06-06,2024-07-03T13:09:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,26,36,10,0,40.724626,-73.880027,srts_citywide.csv
SR-20201006-20003,DEKALB AVENUE,SENECA AVENUE,ONDERDONK AVENUE,denied,2020-01-03,2024-10-07T12:13:00.000,"Planning denied Pre-inspection, Closed",,,Two-way,12,16,4,0,40.707632,-73.915841,srts_citywide.csv
SR-20240918-32340,65 PLACE,70 AVENUE,CENTRAL AVENUE,denied,2024-09-16,2024-10-07T12:01:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,8,9,0,0,40.703971,-73.890408,srts_citywide.csv
SR-20230502-29499,LINDEN STREET,ONDERDONK AVENUE,WOODWARD AVENUE,denied,2023-04-26,2023-12-21T16:16:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,26,39,5,0,40.704593,-73.908246,srts_citywide.csv
SR-20240906-32277,65 STREET,ELIOT AVENUE,62 AVENUE,denied,2024-09-05,2024-12-09T18:00:00.000,"Accept planning proposal of Not Feasible, Closed",multiple impeding driveways / curb cuts,,Two-way,17,28,2,0,40.716236,-73.897822,srts_citywide.csv
SR-20241007-33417,OTTO ROAD,66 PLACE,67 STREET,denied,2024-10-04,2024-10-18T14:21:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,2,2,0,0,40.7056,-73.889118,srts_citywide.csv
SR-20241003-33402,COOPER AVENUE,WYCKOFF AVENUE,ST FELIX AVENUE,denied,2024-10-01,2024-10-18T14:17:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,8,9,1,0,40.693352,-73.900403,srts_citywide.csv
SR-20230622-30018,69 AVENUE,60 LANE,FRESH POND ROAD,denied,2023-06-21,2023-06-30T12:26:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,4,4,1,0,40.702745,-73.897313,srts_citywide.csv
SR-20251215-39849,ONDERDONK AVENUE,69 AVENUE,70 AVENUE,denied,2025-11-25,2026-01-12T12:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,57,67,15,0,40.701229,-73.902559,srts_citywide.csv
SR-20241003-33400,79 PLACE,FURMANVILLE AVENUE,JUNIPER VALLEY ROAD,denied,2024-10-01,2024-10-18T14:16:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,20,25,2,0,40.71774,-73.87321,srts_citywide.csv
SR-20241003-33402,COOPER AVENUE,ST FELIX AVENUE,CYPRESS AVENUE,denied,2024-10-01,2024-10-18T14:17:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,9,10,1,0,40.693437,-73.900032,srts_citywide.csv
SR-20241007-33417,OTTO ROAD,66 STREET,66 PLACE,denied,2024-10-04,2024-10-18T14:21:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,Two-way,7,8,0,0,40.704972,-73.889843,srts_citywide.csv
SR-20251215-39849,ONDERDONK AVENUE,CATALPA AVENUE,69 AVENUE,denied,2025-11-25,2026-01-12T12:58:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,41,47,12,0,40.701457,-73.902948,srts_citywide.csv
SR-20230428-29469,LINDEN STREET,ONDERDONK AVENUE,WOODWARD AVENUE,denied,2023-04-26,2023-05-02T15:32:00.000,"Reject planning proposal of Not Feasible - 2nd inspection requested, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,26,39,5,0,40.704593,-73.908246,srts_citywide.csv
SR-20210726-26106,FRESH POND ROAD,61 STREET,59 DRIVE,denied,2021-05-31,2024-04-16T12:28:00.000,"Accept planning proposal of Not Feasible, Closed",Speed Reducer (Hump or Cushion) denied for not being 1000' clear of speed camera,,Two-way,15,20,1,0,40.718276,-73.902184,srts_citywide.csv
SR-20210108-24283,59 PLACE,60 AVENUE,60 ROAD,denied,2020-07-18,2023-03-09T16:44:00.000,"Accept planning proposal of Not Feasible, Closed",Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,One-way,9,10,4,0,40.716261,-73.907436,srts_citywide.csv
