Year,CB5 Total,CB5 Denied,CB5 Denial Rate (%),CW Total,CW Denied,CW Denial Rate (%),Source Dataset
1999.0,6.0,0.0,0.0,92,60,65.21739130434783,Speed Reducer Tracking System [9n6h-pt9g]
2000.0,,,,130,36,27.692307692307693,Speed Reducer Tracking System [9n6h-pt9g]
2001.0,1.0,0.0,0.0,211,22,10.42654028436019,Speed Reducer Tracking System [9n6h-pt9g]
2002.0,3.0,1.0,33.33333333333333,293,87,29.692832764505116,Speed Reducer Tracking System [9n6h-pt9g]
2003.0,2.0,1.0,50.0,231,79,34.1991341991342,Speed Reducer Tracking System [9n6h-pt9g]
2004.0,13.0,0.0,0.0,220,43,19.545454545454547,Speed Reducer Tracking System [9n6h-pt9g]
2005.0,16.0,9.0,56.25,737,507,68.79240162822252,Speed Reducer Tracking System [9n6h-pt9g]
2006.0,22.0,18.0,81.81818181818183,1374,1067,77.65647743813683,Speed Reducer Tracking System [9n6h-pt9g]
2007.0,61.0,55.0,90.1639344262295,1429,1103,77.18684394681596,Speed Reducer Tracking System [9n6h-pt9g]
2008.0,34.0,25.0,73.52941176470588,1316,1054,80.09118541033435,Speed Reducer Tracking System [9n6h-pt9g]
2009.0,93.0,80.0,86.02150537634408,1734,1481,85.40945790080738,Speed Reducer Tracking System [9n6h-pt9g]
2010.0,135.0,116.0,85.92592592592592,3191,2747,86.08586649952993,Speed Reducer Tracking System [9n6h-pt9g]
2011.0,146.0,122.0,83.56164383561644,2491,2011,80.73063026896828,Speed Reducer Tracking System [9n6h-pt9g]
2012.0,57.0,48.0,84.21052631578947,3134,2583,82.41863433312061,Speed Reducer Tracking System [9n6h-pt9g]
2013.0,68.0,47.0,69.11764705882352,3629,3005,82.80518049049324,Speed Reducer Tracking System [9n6h-pt9g]
2014.0,150.0,123.0,82.0,3898,3020,77.47562852744997,Speed Reducer Tracking System [9n6h-pt9g]
2015.0,169.0,142.0,84.02366863905326,4981,3996,80.2248544468982,Speed Reducer Tracking System [9n6h-pt9g]
2016.0,85.0,68.0,80.0,3926,3248,82.73051451859399,Speed Reducer Tracking System [9n6h-pt9g]
2017.0,66.0,55.0,83.33333333333334,2683,2241,83.52590383898621,Speed Reducer Tracking System [9n6h-pt9g]
2018.0,110.0,102.0,92.72727272727272,2448,2115,86.39705882352942,Speed Reducer Tracking System [9n6h-pt9g]
2019.0,284.0,278.0,97.88732394366197,4502,4092,90.89293647267881,Speed Reducer Tracking System [9n6h-pt9g]
2020.0,38.0,37.0,97.36842105263158,1876,1743,92.91044776119402,Speed Reducer Tracking System [9n6h-pt9g]
2021.0,47.0,47.0,100.0,2439,2288,93.80893808938089,Speed Reducer Tracking System [9n6h-pt9g]
2022.0,65.0,63.0,96.92307692307692,2200,2065,93.86363636363636,Speed Reducer Tracking System [9n6h-pt9g]
2023.0,85.0,84.0,98.82352941176471,3808,3636,95.48319327731093,Speed Reducer Tracking System [9n6h-pt9g]
2024.0,112.0,111.0,99.10714285714286,2772,2618,94.44444444444444,Speed Reducer Tracking System [9n6h-pt9g]
2025.0,84.0,83.0,98.80952380952381,2239,2142,95.6677087985708,Speed Reducer Tracking System [9n6h-pt9g]
