Community Board,Total,Denied,Denial Rate (%),Geography Method,Source Dataset
CB4,110,110,100.0,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB9,494,492,99.6,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB1,373,369,98.9,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB5,436,430,98.6,CB5 polygon filter,Speed Reducer Tracking System [9n6h-pt9g]
CB6,316,311,98.4,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB3,166,163,98.2,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB2,209,201,96.2,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB10,429,410,95.6,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB7,486,461,94.9,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB12,946,897,94.8,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB8,339,319,94.1,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB14,332,307,92.5,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB11,447,408,91.3,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
CB13,1052,952,90.5,SRTS cb field,Speed Reducer Tracking System [9n6h-pt9g]
