Intersection,Denials,Source File
Woodhaven Boulevard & Eliot Avenue,5,data_cb5_signal_studies.csv
Metropolitan Avenue & Forest Avenue,5,data_cb5_signal_studies.csv
Fresh Pond Road & 60 Road,3,data_cb5_signal_studies.csv
Metropolitan Avenue & Flushing Avenue,3,data_cb5_signal_studies.csv
Fresh Pond Road & Metropolitan Avenue,3,data_cb5_signal_studies.csv
Myrtle Avenue & St Nicholas Avenue,3,data_cb5_signal_studies.csv
Metropolitan Avenue & Aubrey Avenue,3,data_cb5_signal_studies.csv
Grand Avenue & Borden Avenue,3,data_cb5_signal_studies.csv
Grand Avenue & 74 Street,3,data_cb5_signal_studies.csv
Cypress Avenue & Cooper Avenue,3,data_cb5_signal_studies.csv
