Street,Crashes,Injuries,Pedestrian Injuries,Source Dataset
Jackie Robinson Parkway,324,547,1,Motor Vehicle Collisions [h9gi-nx95]
Long Island Expressway,198,341,1,Motor Vehicle Collisions [h9gi-nx95]
Metropolitan Avenue,197,254,36,Motor Vehicle Collisions [h9gi-nx95]
Myrtle Avenue,189,231,54,Motor Vehicle Collisions [h9gi-nx95]
Woodhaven Boulevard,148,196,14,Motor Vehicle Collisions [h9gi-nx95]
Fresh Pond Road,151,179,40,Motor Vehicle Collisions [h9gi-nx95]
Cypress Avenue,134,168,25,Motor Vehicle Collisions [h9gi-nx95]
Eliot Avenue,104,156,24,Motor Vehicle Collisions [h9gi-nx95]
Grand Avenue,121,153,21,Motor Vehicle Collisions [h9gi-nx95]
69 Street,103,134,16,Motor Vehicle Collisions [h9gi-nx95]
