reference_id,location_name,dataset,request_type,outcome,request_year,Source File,latitude,longitude,crashes_150m,injuries_150m,ped_injuries_150m,fatalities_150m
SR-20250806-39341,62 Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.713843,-73.900939,71,86,18,1
CQ21-2787B,Metropolitan Avenue & Aubrey Avenue,Signal Study,Traffic Signal,denied,2021.0,data_cb5_signal_studies.csv,40.711994,-73.86073,66,101,4,0
CQ23-3520B,Metropolitan Avenue & Aubrey Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.711994,-73.86073,66,101,4,0
CQ22-1598B,Aubrey Avenue & Metropolitan Avenue,Signal Study,Traffic Signal,denied,2022.0,data_cb5_signal_studies.csv,40.711994,-73.86073,66,101,4,0
CQ21-2789B,Metropolitan Avenue & Aubrey Avenue,Signal Study,Traffic Signal,denied,2021.0,data_cb5_signal_studies.csv,40.711994,-73.86073,66,101,4,0
SR-20251215-39849,Onderdonk Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.700718,-73.901694,62,82,19,0
SR-20210426-25674,62 Road,SRTS,Speed Bump,denied,2020.0,srts_citywide.csv,40.713173,-73.900749,62,69,17,0
CQ23-0750B,61 Street & Metropolitan Avenue,Signal Study,Left Turn Arrow/Signal,denied,2023.0,data_cb5_signal_studies.csv,40.712757,-73.90225,59,70,17,0
CQ22-0173B,Fresh Pond Road & Metropolitan Avenue,Signal Study,Left Turn Arrow/Signal,denied,2022.0,data_cb5_signal_studies.csv,40.712696,-73.900604,57,64,17,0
SR-20220809-27601,Cypress Avenue,SRTS,Speed Bump,denied,2022.0,srts_citywide.csv,40.693843,-73.896912,57,72,13,0
CQ24-1951B,Fresh Pond Road & Metropolitan Avenue,Signal Study,Traffic Signal,denied,2024.0,data_cb5_signal_studies.csv,40.712696,-73.900604,57,64,17,0
SR-20251215-39849,Onderdonk Avenue,SRTS,Speed Bump,denied,2025.0,srts_citywide.csv,40.701229,-73.902559,57,67,15,0
CQ24-2047,69 Avenue & Onderdonk Avenue,Signal Study,All-Way Stop,denied,2024.0,data_cb5_signal_studies.csv,40.70123,-73.902565,57,67,15,0
