Project Code,Location,Street,From,To,Request Date,Wait Months,Installed,Source File
SR-20180119-13605,79 St (Furmanville Ave to Juniper Valley [Installed],79 STREET,FURMANVILLE AVENUE,JUNIPER VALLEY ROAD,2018-01-19,75.2,True,srts_citywide.csv
SR-20170315-12719,74 St (Grand Ave to 57 Ave) [Installed],74 STREET,GRAND AVENUE,57 AVENUE,2017-03-15,75.7,True,srts_citywide.csv
SR-20160317-11565,61 St (56 Ave to 56 Rd) [Installed],61 STREET,56 AVENUE,56 ROAD,2016-03-17,76.4,True,srts_citywide.csv
SR-20170612-12895,81 St (Eliot Ave to 62 Ave) [Installed],81 STREET,ELIOT AVENUE,62 AVENUE,2017-06-12,82.7,True,srts_citywide.csv
SR-20170626-12946,74 St (Horace Harding Expwy to 58 Ave) [Installed],74 STREET,HORACE HARDING EXPRESSWAY,58 AVENUE,2017-06-26,83.6,True,srts_citywide.csv
SR-20170208-12630,Himrod St (Grandview Ave to Tonsor St) [Installed],HIMROD STREET,GRANDVIEW AVENUE,TONSOR STREET,2017-02-08,86.7,True,srts_citywide.csv
SR-20170208-12630,Himrod St (Fairview Ave to Grandview Ave [Installed],HIMROD STREET,FAIRVIEW AVENUE,GRANDVIEW AVENUE,2017-02-08,86.7,True,srts_citywide.csv
SR-20170208-12630,Himrod St (Onderdonk Ave to Woodward Ave [Installed],HIMROD STREET,ONDERDONK AVENUE,WOODWARD AVENUE,2017-02-08,86.7,True,srts_citywide.csv
SR-20170208-12630,Himrod St (Seneca Ave to Onderdonk Ave) [Installed],HIMROD STREET,SENECA AVENUE,ONDERDONK AVENUE,2017-02-08,86.7,True,srts_citywide.csv
SR-20140515-8645,60 Ave (60 St to 60 Pl) [Installed],60 AVENUE,60 STREET,60 PLACE,2014-04-15,91.5,True,srts_citywide.csv
SR-20121010-7012,73 Pl (69 Rd to 70 Ave) [Installed],73 PLACE,69 ROAD,70 AVENUE,2012-10-02,99.2,True,srts_citywide.csv
SR-20041012-1432,Mt Olivet Cres (Bend to 65 Pl) [Installed],MT OLIVET CRESCENT,BEND,65 PLACE,2004-10-12,107.9,True,srts_citywide.csv
SR-20100813-4898,Woodward Ave (68 Rd to Catalpa Ave) [Installed],WOODWARD AVENUE,68 ROAD,CATALPA AVENUE,2010-08-13,158.1,True,srts_citywide.csv
SR-20041012-1424,Weirfield St (Cypress Ave to Seneca Ave) [Installed],WEIRFIELD STREET,CYPRESS AVENUE,SENECA AVENUE,2004-10-12,176.1,True,srts_citywide.csv
SR-20041012-1427,Hancock St (Wyckoff Ave to Cypress Ave) [Installed],HANCOCK STREET,WYCKOFF AVENUE,CYPRESS AVENUE,2004-10-12,176.1,True,srts_citywide.csv
SR-20251203-39806,Woodward Ave (68 Rd to Catalpa Ave) [Approved],WOODWARD AVENUE,68 ROAD,CATALPA AVENUE,2025-12-03,2.4,False,srts_citywide.csv
SR-20240502-31623,74 St (Pleasantview St to Penelope Ave) [Approved],74 STREET,PLEASANTVIEW STREET,PENELOPE AVENUE,2024-05-01,21.5,False,srts_citywide.csv
SR-20230918-30597,74 St (Juniper Valley Rd to 66 Dr) [Approved],74 STREET,JUNIPER VALLEY ROAD,66 DRIVE,2023-09-17,28.9,False,srts_citywide.csv
SR-20200302-18368,69 Pl (Lirr Connecting Rail Line to Juni [Approved],69 PLACE,LIRR CONNECTING RAIL LINE,JUNIPER BOULEVARD SOUTH,2019-06-18,79.9,False,srts_citywide.csv
SR-20190419-14762,87 St (77 Ave to 78 Ave) [Approved],87 STREET,77 AVENUE,78 AVENUE,2019-04-08,82.3,False,srts_citywide.csv
SR-20190419-14752,57 Ave (72 Pl to 73 St) [Approved],57 AVENUE,72 PLACE,73 STREET,2019-04-08,82.3,False,srts_citywide.csv
SR-20230426-29445,Grove St (Woodward Ave to St John'S Rd) [Approved],GROVE STREET,WOODWARD AVENUE,ST JOHN'S ROAD,2018-11-20,86.8,False,srts_citywide.csv
SR-20180728-13986,71 Ave (60 St to 60 Ln) [Approved],71 AVENUE,60 STREET,60 LANE,2018-07-28,90.6,False,srts_citywide.csv
SR-20170720-13009,Onderdonk Ave (Bend to Willoughby Ave) [Approved],ONDERDONK AVENUE,BEND,WILLOUGHBY AVENUE,2017-07-20,102.9,False,srts_citywide.csv
SR-20190315-14609,Juniper Blvd North (75 St to 75 Pl) [Approved],JUNIPER BLVD NORTH,75 STREET,75 PLACE,2016-07-26,114.7,False,srts_citywide.csv
SR-20160622-11913,68 St (Central Ave to Myrtle Ave) [Approved],68 STREET,CENTRAL AVENUE,MYRTLE AVENUE,2016-06-22,115.8,False,srts_citywide.csv
SR-20160323-11580,56 Ave (60 St to 61 St) [Approved],56 AVENUE,60 STREET,61 STREET,2016-03-23,118.8,False,srts_citywide.csv
SR-20160323-11580,56 Ave (61 St to 64 St) [Approved],56 AVENUE,61 STREET,64 STREET,2016-03-23,118.8,False,srts_citywide.csv
SR-20120426-6453,Rutledge Ave (Bend to Bend) [Approved],RUTLEDGE AVENUE,BEND,BEND,2011-10-12,172.1,False,srts_citywide.csv
SR-20120426-6453,Rutledge Ave (Bend to Bend) [Approved],RUTLEDGE AVENUE,BEND,BEND,2011-10-12,172.1,False,srts_citywide.csv
SR-20110830-5963,58 St (57 Dr to 58 Ave) [Approved],58 STREET,57 DRIVE,58 AVENUE,2011-08-17,173.9,False,srts_citywide.csv
SR-20111202-6158,Caldwell Ave (Amtrak Railrd to 76 St) [Approved],CALDWELL AVENUE,AMTRAK RAILROAD,76 STREET,2011-08-11,174.1,False,srts_citywide.csv
SR-20111202-6158,Caldwell Ave (Bend to 79 St) [Approved],CALDWELL AVENUE,BEND,79 STREET,2011-08-11,174.1,False,srts_citywide.csv
SR-20111202-6158,Caldwell Ave (Bend to 78 St) [Approved],CALDWELL AVENUE,BEND,78 STREET,2011-08-11,174.1,False,srts_citywide.csv
SR-20110527-5690,64 Rd (84 Pl to Woodhaven Blvd) [Approved],64 ROAD,84 PLACE,WOODHAVEN BOULEVARD,2011-05-27,176.6,False,srts_citywide.csv
SR-20120503-6471,60 Dr (Fresh Pond Rd to Mt Olivet Cres) [Approved],60 DRIVE,FRESH POND ROAD,MT OLIVET CRESCENT,2009-09-14,197.0,False,srts_citywide.csv
